Rank,Rank 2023,Rank 2022,Name,Country,Sector,Absolute Growth Rate (%),Compound Annual Growth Rate (%),Revenue 2022 (€),Revenue 2019 (€), Number of employees 2022 ,Number of employees 2019,Founding Year
162, , ,Kolsquare,France,IT & Software,"                             1,067.0",                                          126.8,"                                    3,986,089","                                      341,558",                     30,25,2010
163, , ,500 Logistics,UK,Logistics & Transportation,"                             1,066.7",                                          126.8,"                                    3,064,617","                                      275,283",                       6,1,2016
164, , ,LiveKid,Poland,IT & Software,"                             1,066.5",                                          126.8,"                                    1,931,582","                                      182,974",                     73,19,2017
165, , ,BeSocial,Germany,Advertising & Marketing,"                             1,063.8",                                          126.6,"                                    5,586,239","                                      480,000",                     65,8,2018
166, , ,Scrumconnect Consulting,UK,IT & Software,"                             1,059.3",                                          126.3,"                                  28,832,639","                                    2,606,605",                     30,10,2011
167,182, ,Moneybox,UK,"Fintech, Fin Serv & Insurance ","                             1,046.7",                                          125.5,"                                  32,400,043","                                    2,961,163",                   318,116,2015
168, , ,Greenland,Italy,Construction & Engineering,"                             1,041.0",                                          125.1,"                                    1,532,259","                                      134,291",                       9,1,2017
169, , ,Dipperfox,Estonia,Manufacturing,"                             1,032.7",                                          124.6,"                                    2,361,818","                                      208,520",                       7,4,2005
170,141, ,Hitisy,Germany,Wholesale,"                             1,031.6",                                          124.5,"                                  77,140,494","                                    6,816,740",                       9,5,2017
171,63, ,Energynat,Poland,Wholesale,"                             1,029.4",                                          124.4,"                                  44,516,779","                                    4,355,374",                     21,10,2010
