Rank,Rank 2023,Rank 2022,Name,Country,Sector,Absolute Growth Rate (%),Compound Annual Growth Rate (%),Revenue 2022 (€),Revenue 2019 (€),Number of employees 2022,Number of employees 2019,Founding Year
602,,,Allround Handels,Germany,Logistics & Transportation,270.9,54.8,3462473,933484,10,5.0,2014
603,329.0,250.0,Tarhan Bauausführungen,Germany,Construction & Engineering,270.7,54.8,4323512,1166275,33,25.0,2017
604,378.0,394.0,iBanFirst,Belgium,"Fintech, Fin Serv & Insurance",270.4,54.7,29349952,7924164,273,130.0,2013
605,,,smapOne,Germany,IT & Software,270.2,54.7,6630388,1791138,127,23.0,2014
606,369.0,501.0,Gong,France,Retail,269.7,54.6,21180083,5729261,95,20.0,2009
607,,45.0,EO Charging,UK,Automotive,269.5,54.6,19481286,5525863,180,42.0,2014
608,,853.0,89up,UK,Advertising & Marketing,268.9,54.5,5300467,1505739,39,24.0,2009
609,385.0,,Aconstruct,France,Construction & Engineering,268.9,54.5,68512171,18573634,34,17.0,2008
610,,,CrazyGames,Belgium,IT & Software,268.3,54.4,12494858,3392463,16,5.0,2014
611,,,Chianti Restorations,Italy,Construction & Engineering,268.2,54.4,10735852,2915554,37,11.0,2017
612,,,econes,Germany,Automotive,267.6,54.3,16076484,4373715,3,3.0,2005
613,409.0,,Montbazens Auto Service,France,Automotive,267.4,54.3,3082791,839106,10,3.0,2013
614,594.0,,MySecretCase,Italy,Ecommerce,267.0,54.3,10200643,2779095,11,13.0,2013
615,,,360Learning,France,IT & Software,266.7,54.2,44000000,12000000,400,166.0,2013
616,,343.0,SchönerTel,Germany,Construction & Engineering,266.6,54.2,36470966,9948878,168,33.0,2016
617,,,Tahir Investments,Germany,Hospitality & Travel,266.3,54.2,3289897,898043,33,19.0,2017
618,310.0,,sunextrusion,Germany,Manufacturing,266.3,54.1,20420000,5575000,46,32.0,2017
619,413.0,17.0,Unit8,Switzerland,IT & Software,265.4,54.0,18647538,4659913,108,26.0,2017
